2024-07-03 16:12:43.721 [restartedMain] INFO  [o.s.boot.devtools.restart.ChangeableUrls] - The Class-Path manifest attribute in /Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xalan-2.7.2.jar referenced one or more files that do not exist: file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xercesImpl.jar,file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/xml-apis.jar,file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/xalan/2.7.2/serializer.jar
2024-07-03 16:12:43.722 [restartedMain] INFO  [o.s.boot.devtools.restart.ChangeableUrls] - The Class-Path manifest attribute in /Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/serializer/2.7.2/serializer-2.7.2.jar referenced one or more files that do not exist: file:/Users/wing/DevelopEnvironment/apache-maven-3.9.4/repository/xalan/serializer/2.7.2/xml-apis.jar
2024-07-03 16:12:43.722 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
2024-07-03 16:12:43.722 [restartedMain] INFO  [o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor] - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
2024-07-03 16:12:44.466 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9999 (http)
2024-07-03 16:12:44.470 [restartedMain] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-07-03 16:12:44.470 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-07-03 16:12:44.501 [restartedMain] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-07-03 16:12:44.501 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 779 ms
2024-07-03 16:12:53.188 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Using db table-based data access locking (synchronization).
2024-07-03 16:12:53.190 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - JobStoreCMT initialized.
2024-07-03 16:12:54.055 [restartedMain] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] - Exposing 1 endpoint(s) beneath base path '/actuator'
2024-07-03 16:12:54.079 [restartedMain] INFO  [o.s.security.web.DefaultSecurityFilterChain] - Will secure any request with [org.springframework.security.web.session.DisableEncodeUrlFilter@20d13a33, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@2dd3b4a, org.springframework.security.web.context.SecurityContextHolderFilter@4c97d9dc, org.springframework.security.web.header.HeaderWriterFilter@36290805, org.springframework.security.web.authentication.logout.LogoutFilter@7f26e6e7, com.redpig.security.filter.JwtAuthenticationTokenFilter@13b410fc, com.redpig.security.filter.LoginAuthenticationFilter@50d3198c, org.springframework.security.web.authentication.UsernamePasswordAuthenticationFilter@35b0af84, org.springframework.security.web.authentication.ui.DefaultLoginPageGeneratingFilter@3f46cdf5, org.springframework.security.web.authentication.ui.DefaultLogoutPageGeneratingFilter@79fab107, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@46181ab5, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@757dd51c, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@1296d219, org.springframework.security.web.access.ExceptionTranslationFilter@1156d8a1, org.springframework.security.web.access.intercept.AuthorizationFilter@510d943c]
2024-07-03 16:12:54.246 [restartedMain] INFO  [o.s.b.d.autoconfigure.OptionalLiveReloadServer] - LiveReload server is running on port 35729
2024-07-03 16:12:54.293 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat started on port(s): 9999 (http) with context path ''
2024-07-03 16:12:54.294 [restartedMain] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Starting Quartz Scheduler now
2024-07-03 16:12:54.814 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Freed 0 triggers from 'acquired' / 'blocked' state.
2024-07-03 16:12:55.026 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovering 0 jobs that were in-progress at the time of the last shut-down.
2024-07-03 16:12:55.026 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Recovery complete.
2024-07-03 16:12:55.171 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 'complete' triggers.
2024-07-03 16:12:55.286 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Removed 0 stale fired job entries.
2024-07-03 16:12:55.828 [RMI TCP Connection(2)-127.0.0.1] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2024-07-03 16:12:55.829 [RMI TCP Connection(2)-127.0.0.1] INFO  [org.springframework.web.servlet.DispatcherServlet] - Initializing Servlet 'dispatcherServlet'
2024-07-03 16:12:55.830 [RMI TCP Connection(2)-127.0.0.1] INFO  [org.springframework.web.servlet.DispatcherServlet] - Completed initialization in 1 ms
2024-07-03 17:40:23.231 [File Watcher] INFO  [o.s.b.d.a.LocalDevToolsAutoConfiguration$RestartingClassPathChangeChangedEventListener] - Restarting due to 1 class path change (0 additions, 0 deletions, 1 modification)
2024-07-03 17:40:23.249 [Thread-5] INFO  [org.apache.catalina.core.StandardService] - Stopping service [Tomcat]
2024-07-03 17:40:23.251 [Thread-5] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Destroying Spring FrameworkServlet 'dispatcherServlet'
2024-07-03 17:40:23.263 [Thread-5] INFO  [o.s.scheduling.quartz.SchedulerFactoryBean] - Shutting down Quartz Scheduler
2024-07-03 17:40:23.549 [restartedMain] INFO  [o.s.boot.web.embedded.tomcat.TomcatWebServer] - Tomcat initialized with port(s): 9999 (http)
2024-07-03 17:40:23.549 [restartedMain] INFO  [org.apache.catalina.core.StandardService] - Starting service [Tomcat]
2024-07-03 17:40:23.549 [restartedMain] INFO  [org.apache.catalina.core.StandardEngine] - Starting Servlet engine: [Apache Tomcat/10.1.11]
2024-07-03 17:40:23.556 [restartedMain] INFO  [o.a.c.core.ContainerBase.[Tomcat].[localhost].[/]] - Initializing Spring embedded WebApplicationContext
2024-07-03 17:40:23.556 [restartedMain] INFO  [o.s.b.w.s.c.ServletWebServerApplicationContext] - Root WebApplicationContext: initialization completed in 219 ms
2024-07-03 17:40:30.461 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - Using db table-based data access locking (synchronization).
2024-07-03 17:40:30.462 [restartedMain] INFO  [o.s.scheduling.quartz.LocalDataSourceJobStore] - JobStoreCMT initialized.
2024-07-03 17:40:31.157 [restartedMain] INFO  [o.s.b.actuate.endpoint.web.EndpointLinksResolver] - Exposing 1 endpoint(s) beneath base path '/actuator'
